Date,Volume,dow,month,dom,yest_p_diff,ten,hike_prob,cut_prob,dollar,oil_price,oil_change,CPI,job_1,job_2,job_3,CNN,CNN_dif,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6,tom_resid
5/18/2021,59810240.0,1,5,18,0.009589641,1.64,8.0,0.0,89.75,486011.0,1320.0,4.92,467000.0,3618000.0,513000.0,34.8333,-0.76669693,0.766756554,9.50611599,6.898922234,-4.554759827,-0.023158112,-0.456176338,1.2179598
5/19/2021,106467100.0,2,5,19,0.008379889,1.676,11.0,0.0,90.19,486011.0,1320.0,4.92,467000.0,3618000.0,513000.0,31.8667,-2.9666023,-0.415541229,0.766756554,9.50611599,6.898922234,-4.554759827,-0.023158112,7.015534
5/20/2021,78022220.0,3,5,20,-0.004651275,1.628,10.0,0.0,89.81,486011.0,1320.0,4.92,467000.0,3618000.0,513000.0,33.3667,1.5,1.217959747,-0.415541229,0.766756554,9.50611599,6.898922234,-4.554759827,3.3156571
5/21/2021,76578660.0,4,5,21,0.004365771,1.623,7.0,0.0,90.02,484349.0,-1662.0,4.92,467000.0,3618000.0,513000.0,29.7,-3.6666985,7.015533714,1.217959747,-0.415541229,0.766756554,9.50611599,6.898922234,5.650756
5/24/2021,51376700.0,0,5,24,-0.004997131,1.603,7.0,0.0,89.84,484349.0,-1662.0,4.92,441000.0,3575000.0,479750.0,29.8667,-3.6666985,3.315657082,7.015533714,1.217959747,-0.415541229,0.766756554,9.50611599,1.1624444
5/25/2021,57451400.0,1,5,25,0.000477247,1.56,7.0,0.0,89.64,484349.0,-1662.0,4.92,441000.0,3575000.0,479750.0,26.6,-3.2666988,5.650755806,3.315657082,7.015533714,1.217959747,-0.415541229,0.766756554,0.8985751
5/26/2021,43088620.0,2,5,26,-0.002098786,1.581,7.0,0.0,90.04,484349.0,-1662.0,4.92,441000.0,3575000.0,479750.0,28.9333,2.3332996,1.162444344,5.650755806,3.315657082,7.015533714,1.217959747,-0.415541229,2.0119991
5/27/2021,56707680.0,3,5,27,-0.002214075,1.606,8.0,0.0,89.97,484349.0,-1662.0,4.92,441000.0,3575000.0,479750.0,29.8667,0.9333992,0.898575134,1.162444344,5.650755806,3.315657082,7.015533714,1.217959747,2.052042
5/28/2021,58520160.0,4,5,28,-0.006910191,1.581,11.0,0.0,90.03,479270.0,-5079.0,4.92,441000.0,3575000.0,479750.0,31.9333,2.0666008,2.011999168,0.898575134,1.162444344,5.650755806,3.315657082,7.015533714,1.3518704
6/1/2021,54216630.0,1,6,1,-9.52e-05,1.606,9.0,0.0,89.83,479270.0,-5079.0,5.28,427000.0,3422000.0,457250.0,35.0,2.0666008,2.052042046,2.011999168,0.898575134,1.162444344,5.650755806,3.315657082,3.1665325
6/2/2021,49097060.0,2,6,2,0.00219691,1.589,8.0,0.0,89.91,479270.0,-5079.0,5.28,427000.0,3422000.0,457250.0,42.0667,7.0667,1.351870461,2.052042046,2.011999168,0.898575134,1.162444344,5.650755806,-0.368072
6/3/2021,58138760.0,3,6,3,0.004377662,1.625,7.0,0.0,90.51,479270.0,-5079.0,5.28,427000.0,3422000.0,457250.0,41.6,-0.4667015,3.166532593,1.351870461,2.052042046,2.011999168,0.898575134,1.162444344,5.458011
6/4/2021,55938790.0,4,6,4,-0.000947441,1.557,7.0,0.0,90.14,474029.0,-5241.0,5.28,427000.0,3422000.0,457250.0,42.7667,1.1667023,-0.368072014,3.166532593,1.351870461,2.052042046,2.011999168,0.898575134,0.5804104
6/7/2021,51555030.0,0,6,7,-0.00196552,1.569,5.0,0.0,89.95,474029.0,-5241.0,5.28,420000.0,3350000.0,438750.0,43.7333,1.1667023,5.458011246,-0.368072014,3.166532593,1.351870461,2.052042046,2.011999168,2.9394038
6/8/2021,47134280.0,1,6,8,-0.003628602,1.538,4.0,0.0,90.08,474029.0,-5241.0,5.28,420000.0,3350000.0,438750.0,45.9,2.1667023,0.580410423,5.458011246,-0.368072014,3.166532593,1.351870461,2.052042046,2.0759377
6/9/2021,48436340.0,2,6,9,0.00153443,1.492,3.0,0.0,90.12,474029.0,-5241.0,5.28,420000.0,3350000.0,438750.0,46.6333,0.73329926,2.939403801,0.580410423,5.458011246,-0.368072014,3.166532593,1.351870461,5.284282
6/10/2021,51020150.0,3,6,10,0.000259244,1.437,4.0,0.0,90.08,474029.0,-5241.0,5.28,420000.0,3350000.0,438750.0,49.8667,3.2333984,2.075937653,2.939403801,0.580410423,5.458011246,-0.368072014,3.166532593,5.2070365
6/11/2021,45570830.0,4,6,11,0.001951747,1.454,3.0,0.0,90.56,466674.0,-7355.0,5.28,420000.0,3350000.0,438750.0,52.5,2.6333008,5.284282074,2.075937653,2.939403801,0.580410423,5.458011246,-0.368072014,4.423028
6/14/2021,42358480.0,0,6,14,-0.002214474,1.497,7.0,0.0,90.52,466674.0,-7355.0,5.28,428000.0,3268000.0,429000.0,54.1,2.6333008,5.207036552,5.284282074,2.075937653,2.939403801,0.580410423,5.458011246,3.2867541
6/15/2021,51508510.0,1,6,15,-0.005970008,1.489,7.0,0.0,90.54,466674.0,-7355.0,5.28,428000.0,3268000.0,429000.0,51.8667,-2.2332993,4.423027763,5.207036552,5.284282074,2.075937653,2.939403801,0.580410423,-0.023395196
6/16/2021,80386080.0,2,6,16,0.000710951,1.581,0.0,0.0,91.13,466674.0,-7355.0,5.28,428000.0,3268000.0,429000.0,44.7,-7.1666985,3.286754112,4.423027763,5.207036552,5.284282074,2.075937653,2.939403801,3.7608144
6/17/2021,90949660.0,3,6,17,-0.005229924,1.511,0.0,0.0,91.89,466674.0,-7355.0,5.28,428000.0,3268000.0,429000.0,42.7667,-1.9333,-0.023395195,3.286754112,4.423027763,5.207036552,5.284282074,2.075937653,-3.5253448
6/18/2021,118676300.0,4,6,18,0.009646913,1.443,0.0,0.0,92.22,459060.0,-7614.0,5.28,428000.0,3268000.0,429000.0,31.8,-10.9667015,3.7608144,-0.023395195,3.286754112,4.423027763,5.207036552,5.284282074,8.826438
6/21/2021,72822030.0,0,6,21,0.0053414,1.497,0.0,0.0,91.9,459060.0,-7614.0,5.28,422000.0,3263000.0,424250.0,33.4333,-10.9667015,-3.525344925,3.7608144,-0.023395195,3.286754112,4.423027763,5.207036552,6.47642
6/22/2021,57700300.0,1,6,22,-0.001396119,1.467,0.0,0.0,91.76,459060.0,-7614.0,5.28,422000.0,3263000.0,424250.0,32.3667,-1.0666008,8.826438293,-3.525344925,3.7608144,-0.023395195,3.286754112,4.423027763,2.0562491
6/23/2021,49445410.0,2,6,23,0.000494001,1.485,0.0,0.0,91.8,459060.0,-7614.0,5.28,422000.0,3263000.0,424250.0,33.8333,1.4666023,6.476419792,8.826438293,-3.525344925,3.7608144,-0.023395195,3.286754112,5.1331477
6/24/2021,45110290.0,3,6,24,0.001664284,1.499,0.0,0.0,91.81,459060.0,-7614.0,5.28,422000.0,3263000.0,424250.0,37.2333,3.3999977,2.056249237,6.476419792,8.826438293,-3.525344925,3.7608144,-0.023395195,2.4918978
